"Name","Regular price","categories","Description","Images","Meta:rarity","Meta:grading_company","Meta:grade"
"Charizard Graded Card CGC 1","1089.71","Trading Card Game(TCG)","Professionally graded Pokemon single ideal for premium collections.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png","Ilustration rare","CGC","1"
"Blastoise Graded Card BECKKET 6","256.29","Trading Card Game(TCG)","High-demand graded Pokemon card with secure encapsulation.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png","Very rare","BECKKET","6"
"Venusaur Graded Card CGC 4","356.79","Trading Card Game(TCG)","Professionally graded Pokemon single ideal for premium collections.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png","Secret Ilustration rare","CGC","4"
"Pikachu Graded Card PSA 6","614.77","Trading Card Game(TCG)","High-demand graded Pokemon card with secure encapsulation.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png","Very rare","PSA","6"
"Mewtwo Graded Card BECKKET 9","391.68","Trading Card Game(TCG)","Collector-focused graded Pokemon card with strong eye appeal.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/150.png","Ultra rare","BECKKET","9"
"Lugia Graded Card PSA 2","595.39","Trading Card Game(TCG)","Authenticated graded Pokemon card in protective slab.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/249.png","Very rare","PSA","2"
"Ho-Oh Graded Card CGC 6","698.09","Trading Card Game(TCG)","Professionally graded Pokemon single ideal for premium collections.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/250.png","Secret Ilustration rare","CGC","6"
"Rayquaza Graded Card TAG 9","561.6","Trading Card Game(TCG)","Professionally graded Pokemon single ideal for premium collections.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/384.png","Rare","TAG","9"
"Giratina Graded Card PSA 7","500.09","Trading Card Game(TCG)","High-demand graded Pokemon card with secure encapsulation.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/487.png","Secret rare","PSA","7"
"Dialga Graded Card BECKKET 7","326.77","Trading Card Game(TCG)","Authenticated graded Pokemon card in protective slab.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/483.png","Secret rare","BECKKET","7"
"Palkia Graded Card BECKKET 4","219.92","Trading Card Game(TCG)","Authenticated graded Pokemon card in protective slab.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/484.png","Hyper rare","BECKKET","4"
"Arceus Graded Card PSA 3","789.2","Trading Card Game(TCG)","Professionally graded Pokemon single ideal for premium collections.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/493.png","Ultra rare","PSA","3"
"Gengar Graded Card CGC 5","1188.07","Trading Card Game(TCG)","Collector-focused graded Pokemon card with strong eye appeal.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png","Ilustration rare","CGC","5"
"Alakazam Graded Card CGC 7","781.71","Trading Card Game(TCG)","Professionally graded Pokemon single ideal for premium collections.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png","Ultra rare","CGC","7"
"Machamp Graded Card BECKKET 3","985.65","Trading Card Game(TCG)","Authenticated graded Pokemon card in protective slab.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png","Ilustration rare","BECKKET","3"
"Dragonite Graded Card BECKKET 6","419.28","Trading Card Game(TCG)","Professionally graded Pokemon single ideal for premium collections.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/149.png","Rare","BECKKET","6"
"Tyranitar Graded Card PSA 4","516.89","Trading Card Game(TCG)","High-demand graded Pokemon card with secure encapsulation.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/248.png","Secret Ilustration rare","PSA","4"
"Gardevoir Graded Card PSA 6","514.93","Trading Card Game(TCG)","Collector-focused graded Pokemon card with strong eye appeal.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/282.png","Secret rare","PSA","6"
"Lucario Graded Card BECKKET 8","1096.68","Trading Card Game(TCG)","Authenticated graded Pokemon card in protective slab.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/448.png","Ultra rare","BECKKET","8"
"Greninja Graded Card CGC 10","1164.19","Trading Card Game(TCG)","Collector-focused graded Pokemon card with strong eye appeal.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/658.png","Secret rare","CGC","10"
"Umbreon Graded Card TAG 10","708.74","Trading Card Game(TCG)","High-demand graded Pokemon card with secure encapsulation.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/197.png","Very rare","TAG","10"
"Espeon Graded Card PSA 5","1127.51","Trading Card Game(TCG)","Professionally graded Pokemon single ideal for premium collections.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/196.png","Ilustration rare","PSA","5"
"Leafeon Graded Card PSA 3","125.9","Trading Card Game(TCG)","Authenticated graded Pokemon card in protective slab.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/470.png","Very rare","PSA","3"
"Glaceon Graded Card CGC 3","346.96","Trading Card Game(TCG)","High-demand graded Pokemon card with secure encapsulation.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/471.png","Super rare","CGC","3"
"Sylveon Graded Card BECKKET 6","334.96","Trading Card Game(TCG)","High-demand graded Pokemon card with secure encapsulation.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/700.png","Secret Ilustration rare","BECKKET","6"
"Eevee Graded Card CGC 4","797.52","Trading Card Game(TCG)","Authenticated graded Pokemon card in protective slab.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/133.png","Secret rare","CGC","4"
"Scizor Graded Card PSA 1","90.85","Trading Card Game(TCG)","Professionally graded Pokemon single ideal for premium collections.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/212.png","Rare","PSA","1"
"Metagross Graded Card PSA 10","664.57","Trading Card Game(TCG)","Collector-focused graded Pokemon card with strong eye appeal.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/376.png","Ultra rare","PSA","10"
