"Name","Regular price","categories","Description","Images","Meta:rarity","Meta:grading_company","Meta:grade"
"Venusaur EX (Evolutions) PSA 10","36.9","Trading Card Game(TCG)","Real card: Venusaur EX from set Evolutions (#1). Base market EUR 1; graded value adjusted for PSA 10.","https://assets.tcgdex.net/en/xy/xy12/1/high.webp","Ultra rare","PSA","10"
"Venusaur EX (XY) TAG 9","54.62","Trading Card Game(TCG)","Real card: Venusaur EX from set XY (#1). Base market EUR 6; graded value adjusted for TAG 9.","https://assets.tcgdex.net/en/xy/xy1/1/high.webp","Ultra rare","TAG","9"
"Heracross EX (Furious Fists) CGC 8","45","Trading Card Game(TCG)","Real card: Heracross EX from set Furious Fists (#4). Base market EUR 6; graded value adjusted for CGC 8.","https://assets.tcgdex.net/en/xy/xy3/4/high.webp","Ultra rare","CGC","8"
"Leafeon ex (Prismatic Evolutions) BECKKET 7","32.16","Trading Card Game(TCG)","Real card: Leafeon ex from set Prismatic Evolutions (#006). Base market EUR 1; graded value adjusted for BECKKET 7.","https://assets.tcgdex.net/en/sv/sv08.5/006/high.webp","Rare","BECKKET","7"
"Charizard EX (Flashfire) PSA 6","38.34","Trading Card Game(TCG)","Real card: Charizard EX from set Flashfire (#11). Base market EUR 5; graded value adjusted for PSA 6.","https://assets.tcgdex.net/en/xy/xy2/11/high.webp","Ultra rare","PSA","6"
"Charizard EX (Evolutions) TAG 5","42.96","Trading Card Game(TCG)","Real card: Charizard EX from set Evolutions (#12). Base market EUR 10; graded value adjusted for TAG 5.","https://assets.tcgdex.net/en/xy/xy12/12/high.webp","Ultra rare","TAG","5"
"Charizard EX (Flashfire) CGC 4","35.25","Trading Card Game(TCG)","Real card: Charizard EX from set Flashfire (#12). Base market EUR 5; graded value adjusted for CGC 4.","https://assets.tcgdex.net/en/xy/xy2/12/high.webp","Ultra rare","CGC","4"
"Trevenant EX (Primal Clash) BECKKET 10","36","Trading Card Game(TCG)","Real card: Trevenant EX from set Primal Clash (#19). Base market EUR 5; graded value adjusted for BECKKET 10.","https://assets.tcgdex.net/en/xy/xy5/19/high.webp","Ultra rare","BECKKET","10"
"Seismitoad EX (Furious Fists) PSA 9","34.37","Trading Card Game(TCG)","Real card: Seismitoad EX from set Furious Fists (#20). Base market EUR 1; graded value adjusted for PSA 9.","https://assets.tcgdex.net/en/xy/xy3/20/high.webp","Ultra rare","PSA","9"
"Glaceon EX (Fates Collide) TAG 8","32.4","Trading Card Game(TCG)","Real card: Glaceon EX from set Fates Collide (#20). Base market EUR 12; graded value adjusted for TAG 8.","https://assets.tcgdex.net/en/xy/xy10/20/high.webp","Ultra rare","TAG","8"
"Houndoom EX (BREAKthrough) CGC 7","48","Trading Card Game(TCG)","Real card: Houndoom EX from set BREAKthrough (#21). Base market EUR 10; graded value adjusted for CGC 7.","https://assets.tcgdex.net/en/xy/xy8/21/high.webp","Ultra rare","CGC","7"
"Blastoise EX (Evolutions) BECKKET 6","31.74","Trading Card Game(TCG)","Real card: Blastoise EX from set Evolutions (#21). Base market EUR 1; graded value adjusted for BECKKET 6.","https://assets.tcgdex.net/en/xy/xy12/21/high.webp","Ultra rare","BECKKET","6"
"Manectric EX (Phantom Forces) PSA 5","36.9","Trading Card Game(TCG)","Real card: Manectric EX from set Phantom Forces (#23). Base market EUR 5; graded value adjusted for PSA 5.","https://assets.tcgdex.net/en/xy/xy4/23/high.webp","Ultra rare","PSA","5"
"Blaziken ex (Journey Together) TAG 4","31.13","Trading Card Game(TCG)","Real card: Blaziken ex from set Journey Together (#024). Base market EUR 1; graded value adjusted for TAG 4.","https://assets.tcgdex.net/en/sv/sv09/024/high.webp","Rare","TAG","4"
"Alakazam EX (Fates Collide) CGC 10","54","Trading Card Game(TCG)","Real card: Alakazam EX from set Fates Collide (#25). Base market EUR 4; graded value adjusted for CGC 10.","https://assets.tcgdex.net/en/xy/xy10/25/high.webp","Ultra rare","CGC","10"
"Teal Mask Ogerpon ex (Twilight Masquerade) BECKKET 9","34.56","Trading Card Game(TCG)","Real card: Teal Mask Ogerpon ex from set Twilight Masquerade (#025). Base market EUR 1; graded value adjusted for BECKKET 9.","https://assets.tcgdex.net/en/sv/sv06/025/high.webp","Rare","BECKKET","9"
